round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
1,54,0,26.983356,0.016644,2,2
2,54,0,26.795941,0.187415,30,32
3,54,0,26.763791,0.032149,26,58
4,54,0,26.737562,0.026229,23,81
5,54,0,26.722755,0.014807,19,100
6,54,0,26.706582,0.016173,20,120
7,54,0,26.686358,0.020223,19,139
8,54,0,26.569232,0.117126,18,157
9,54,0,26.550393,0.018839,19,176
10,54,0,26.455802,0.094591,14,190
11,54,0,26.434594,0.021208,15,205
12,54,0,26.340409,0.094185,14,219
13,54,0,26.318884,0.021524,14,233
14,54,0,26.229197,0.089688,14,247
15,54,0,26.213903,0.015293,22,269
16,54,0,26.195633,0.01827,23,292
17,54,0,26.179348,0.016286,17,309
18,54,0,26.141215,0.038132,29,338
19,54,0,26.071278,0.069938,27,365
20,54,0,25.98777,0.083508,30,395
21,54,0,25.959983,0.027787,35,430
22,54,0,25.93931,0.020672,29,459
23,54,0,25.725406,0.213904,33,492
24,54,0,25.703197,0.022209,33,525
25,54,0,25.678223,0.024974,35,560
26,54,0,25.450147,0.228076,36,596
27,54,0,25.246093,0.204055,31,627
28,54,0,25.216624,0.029468,37,664
29,54,0,25.180707,0.035917,37,701
30,54,0,25.143532,0.037175,35,736
31,54,0,25.117245,0.026287,28,764
32,54,0,25.098461,0.018784,29,793
33,54,0,25.062281,0.03618,31,824
34,54,0,25.032733,0.029548,35,859
35,54,0,25.004917,0.027817,35,894
36,54,0,24.970974,0.033943,32,926
37,54,0,24.907113,0.063861,37,963
38,54,0,24.708237,0.198876,31,994
39,54,0,24.683948,0.024289,30,1024
40,54,0,24.613152,0.070797,32,1056
41,54,0,24.413523,0.199629,31,1087
42,54,0,24.392671,0.020852,33,1120
43,54,0,24.187982,0.204689,32,1152
44,54,0,24.159583,0.028399,31,1183
45,54,0,24.115953,0.04363,32,1215
46,54,0,24.081292,0.03466,31,1246
47,54,0,24.060898,0.020395,31,1277
48,54,0,24.042059,0.018839,26,1303
49,54,0,24.020284,0.021775,33,1336
50,54,0,23.991436,0.028848,33,1369
51,54,0,23.956703,0.034733,32,1401
52,54,0,23.892791,0.063912,35,1436
53,54,0,23.867576,0.025215,33,1469
54,54,0,23.84137,0.026206,30,1499
55,54,0,23.819176,0.022194,28,1527
56,54,0,23.787043,0.032133,31,1558
57,54,0,23.761264,0.025778,35,1593
58,54,0,23.714703,0.046561,39,1632
59,54,0,23.692522,0.022182,29,1661
60,54,0,23.631461,0.06106,29,1690
61,54,0,23.581336,0.050125,37,1727
62,54,0,23.38866,0.192677,30,1757
63,54,0,23.354821,0.033839,31,1788
64,54,0,23.329944,0.024877,31,1819
65,54,0,23.119315,0.210629,32,1851
66,54,0,23.092667,0.026648,33,1884
67,54,0,23.056454,0.036213,29,1913
68,54,0,23.031451,0.025003,28,1941
69,54,0,23.001755,0.029696,36,1977
70,54,0,22.960947,0.040808,36,2013
71,54,0,22.786509,0.174438,28,2041
72,54,0,22.766311,0.020198,33,2074
73,54,0,22.539368,0.226943,34,2108
74,54,0,22.511831,0.027538,36,2144
75,54,0,22.458797,0.053034,33,2177
76,54,0,22.27011,0.188687,30,2207
77,54,0,22.23198,0.03813,33,2240
78,54,0,22.176334,0.055647,32,2272
79,54,0,22.114085,0.062248,35,2307
80,54,0,22.081883,0.032202,34,2341
81,54,0,21.861291,0.220592,35,2376
82,54,0,21.83453,0.026761,30,2406
83,54,0,21.815054,0.019476,31,2437
84,54,0,21.583857,0.231197,34,2471
85,54,0,21.548585,0.035271,33,2504
86,54,0,21.531291,0.017295,26,2530
87,54,0,21.342382,0.188909,28,2558
88,54,0,21.311522,0.03086,30,2588
89,54,0,21.281815,0.029707,35,2623
90,54,0,21.241067,0.040748,35,2658
91,54,0,21.200433,0.040634,35,2693
92,54,0,21.015776,0.184658,28,2721
93,54,0,20.98006,0.035716,37,2758
94,54,0,20.954865,0.025195,31,2789
95,54,0,20.914293,0.040572,28,2817
96,54,0,20.723921,0.190372,28,2845
97,54,0,20.700301,0.02362,31,2876
98,54,0,20.657878,0.042423,34,2910
99,54,0,20.608398,0.049481,29,2939
100,54,0,20.550193,0.058205,31,2970
101,54,0,20.525099,0.025095,27,2997
102,54,0,20.315604,0.209494,33,3030
103,54,0,20.294782,0.020823,30,3060
104,54,0,20.071123,0.223659,35,3095
105,54,0,20.044834,0.026289,33,3128
106,54,0,20.019263,0.025571,29,3157
107,54,0,19.805914,0.213349,33,3190
108,54,0,19.780749,0.025166,32,3222
109,54,0,19.755388,0.02536,30,3252
110,54,0,19.73561,0.019778,31,3283
111,54,0,19.704443,0.031166,28,3311
112,54,0,19.677048,0.027395,34,3345
113,54,0,19.645015,0.032034,36,3381
114,54,0,19.612524,0.032491,30,3411
115,54,0,19.575099,0.037425,32,3443
116,54,0,19.531107,0.043992,32,3475
117,54,0,19.471034,0.060073,32,3507
118,54,0,19.442582,0.028452,29,3536
119,54,0,19.401643,0.040939,28,3564
120,54,0,19.356239,0.045404,32,3596
121,54,0,19.142913,0.213326,32,3628
122,54,0,19.119422,0.02349,32,3660
123,54,0,19.093344,0.026078,28,3688
124,54,0,19.052255,0.041089,34,3722
125,54,0,19.02503,0.027224,30,3752
126,54,0,18.993989,0.031042,35,3787
127,54,0,18.97395,0.020039,30,3817
128,54,0,18.953396,0.020554,33,3850
129,54,0,18.766048,0.187348,29,3879
130,54,0,18.720293,0.045754,29,3908
131,54,0,18.686238,0.034055,33,3941
132,54,0,18.66121,0.025028,28,3969
133,54,0,18.633995,0.027215,28,3997
134,54,0,18.595501,0.038495,37,4034
135,54,0,18.564989,0.030511,28,4062
136,54,0,18.348783,0.216207,32,4094
137,54,0,18.31311,0.035672,34,4128
138,54,0,18.277699,0.035411,30,4158
139,54,0,18.239839,0.03786,29,4187
140,54,0,18.203333,0.036506,29,4216
141,54,0,18.183097,0.020235,29,4245
142,54,0,17.990471,0.192627,30,4275
143,54,0,17.801624,0.188847,31,4306
144,54,0,17.764097,0.037527,27,4333
145,54,0,17.59816,0.165936,26,4359
146,54,0,17.562963,0.035197,31,4390
147,54,0,17.526315,0.036649,34,4424
