round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
1,54,0,26.990353,0.009647,2,2
2,54,0,26.956945,0.033408,30,32
3,54,0,26.924782,0.032163,26,58
4,54,0,26.895343,0.029439,23,81
5,54,0,26.874578,0.020765,19,100
6,54,0,26.852441,0.022138,20,120
7,54,0,26.833107,0.019334,19,139
8,54,0,26.814184,0.018923,18,157
9,54,0,26.792982,0.021202,19,176
10,54,0,26.77504,0.017942,14,190
11,54,0,26.758377,0.016664,15,205
12,54,0,26.740102,0.018274,14,219
13,54,0,26.724074,0.016028,14,233
14,54,0,26.708465,0.015609,14,247
15,54,0,26.678581,0.029884,22,269
16,54,0,26.648064,0.030517,23,292
17,54,0,26.62955,0.018515,17,309
18,54,0,26.595604,0.033946,29,338
19,54,0,26.562299,0.033305,27,365
20,54,0,26.527049,0.03525,30,395
21,54,0,26.489541,0.037508,35,430
22,54,0,26.457523,0.032018,29,459
23,54,0,26.421302,0.036221,33,492
24,54,0,26.384095,0.037207,33,525
25,54,0,26.344004,0.040091,35,560
26,54,0,26.304731,0.039273,36,596
27,54,0,26.267681,0.03705,31,627
28,54,0,26.229734,0.037947,37,664
29,54,0,26.190794,0.03894,37,701
30,54,0,26.153362,0.037431,35,736
31,54,0,26.120947,0.032415,28,764
32,54,0,26.086512,0.034435,29,793
33,54,0,26.050506,0.036006,31,824
34,54,0,26.012285,0.038221,35,859
35,54,0,25.97212,0.040164,35,894
36,54,0,25.936748,0.035372,32,926
37,54,0,25.895895,0.040853,37,963
38,54,0,25.859993,0.035902,31,994
39,54,0,25.824614,0.035379,30,1024
40,54,0,25.788227,0.036386,32,1056
41,54,0,25.753062,0.035165,31,1087
42,54,0,25.715468,0.037594,33,1120
43,54,0,25.678967,0.036502,32,1152
44,54,0,25.642354,0.036612,31,1183
45,54,0,25.606623,0.035731,32,1215
46,54,0,25.572636,0.033987,31,1246
47,54,0,25.537105,0.035531,31,1277
48,54,0,25.504365,0.03274,26,1303
49,54,0,25.468314,0.036051,33,1336
50,54,0,25.430278,0.038036,33,1369
51,54,0,25.392217,0.038061,32,1401
52,54,0,25.351981,0.040237,35,1436
53,54,0,25.314318,0.037662,33,1469
54,54,0,25.280208,0.034111,30,1499
55,54,0,25.247864,0.032344,28,1527
56,54,0,25.210678,0.037186,31,1558
