round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
1,54,0,26.990353,0.009647,2,2
2,54,0,26.943464,0.046889,30,32
3,54,0,26.904008,0.039457,26,58
4,54,0,26.868666,0.035341,23,81
5,54,0,26.835361,0.033306,19,100
6,54,0,26.808197,0.027163,20,120
7,54,0,26.776999,0.031198,19,139
8,54,0,26.73884,0.038159,18,157
9,54,0,26.7051,0.03374,19,176
10,54,0,26.681637,0.023462,14,190
11,54,0,26.656443,0.025194,15,205
12,54,0,26.633595,0.022848,14,219
13,54,0,26.600895,0.0327,14,233
14,54,0,26.576943,0.023952,14,247
15,54,0,26.540242,0.036701,22,269
16,54,0,26.509331,0.030912,23,292
17,54,0,26.484248,0.025083,17,309
18,54,0,26.444309,0.039939,29,338
19,54,0,26.405152,0.039157,27,365
20,54,0,26.363605,0.041547,30,395
21,54,0,26.312703,0.050902,35,430
22,54,0,26.27418,0.038523,29,459
23,54,0,26.224665,0.049516,33,492
24,54,0,26.175919,0.048746,33,525
25,54,0,26.131227,0.044692,35,560
26,54,0,26.080335,0.050892,36,596
27,54,0,26.031086,0.049249,31,627
28,54,0,25.985836,0.045251,37,664
29,54,0,25.939083,0.046753,37,701
30,54,0,25.886845,0.052238,35,736
31,54,0,25.842958,0.043887,28,764
32,54,0,25.803921,0.039037,29,793
33,54,0,25.757589,0.046332,31,824
34,54,0,25.709437,0.048152,35,859
35,54,0,25.651981,0.057456,35,894
36,54,0,25.609362,0.042619,32,926
37,54,0,25.556499,0.052863,37,963
38,54,0,25.514504,0.041995,31,994
39,54,0,25.467409,0.047095,30,1024
40,54,0,25.431551,0.035858,32,1056
41,54,0,25.396471,0.035081,31,1087
42,54,0,25.346417,0.050053,33,1120
43,54,0,25.297108,0.049309,32,1152
44,54,0,25.249108,0.048,31,1183
45,54,0,25.197514,0.051594,32,1215
46,54,0,25.156868,0.040647,31,1246
47,54,0,25.110442,0.046426,31,1277
48,54,0,25.071243,0.039199,26,1303
49,54,0,25.028588,0.042656,33,1336
50,54,0,24.986051,0.042536,33,1369
51,54,0,24.935372,0.050679,32,1401
52,54,0,24.891127,0.044245,35,1436
53,54,0,24.853776,0.037351,33,1469
54,54,0,24.807344,0.046432,30,1499
55,54,0,24.76819,0.039154,28,1527
56,54,0,24.724345,0.043845,31,1558
57,54,0,24.673737,0.050608,35,1593
58,54,0,24.626361,0.047376,39,1632
59,54,0,24.580869,0.045492,29,1661
60,54,0,24.535637,0.045232,29,1690
61,54,0,24.483366,0.052271,37,1727
62,54,0,24.442848,0.040518,30,1757
63,54,0,24.40219,0.040658,31,1788
64,54,0,24.353232,0.048958,31,1819
65,54,0,24.308169,0.045063,32,1851
66,54,0,24.258073,0.050096,33,1884
67,54,0,24.216348,0.041724,29,1913
68,54,0,24.175773,0.040576,28,1941
69,54,0,24.12595,0.049823,36,1977
70,54,0,24.075454,0.050496,36,2013
71,54,0,24.037961,0.037494,28,2041
72,54,0,23.997338,0.040622,33,2074
73,54,0,23.952355,0.044984,34,2108
74,54,0,23.919296,0.033058,36,2144
75,54,0,23.868465,0.050831,33,2177
76,54,0,23.830166,0.038299,30,2207
77,54,0,23.787649,0.042517,33,2240
78,54,0,23.737254,0.050395,32,2272
79,54,0,23.693751,0.043502,35,2307
80,54,0,23.651739,0.042013,34,2341
81,54,0,23.608161,0.043578,35,2376
82,54,0,23.565723,0.042438,30,2406
83,54,0,23.532061,0.033662,31,2437
84,54,0,23.487789,0.044272,34,2471
85,54,0,23.438441,0.049348,33,2504
86,54,0,23.400371,0.03807,26,2530
87,54,0,23.360852,0.039519,28,2558
88,54,0,23.312235,0.048617,30,2588
89,54,0,23.260221,0.052014,35,2623
90,54,0,23.20876,0.051462,35,2658
91,54,0,23.164723,0.044036,35,2693
92,54,0,23.130221,0.034502,28,2721
93,54,0,23.078408,0.051813,37,2758
94,54,0,23.034937,0.043471,31,2789
95,54,0,23.003342,0.031595,28,2817
96,54,0,22.961489,0.041853,28,2845
97,54,0,22.913538,0.047951,31,2876
98,54,0,22.863506,0.050032,34,2910
99,54,0,22.818567,0.044939,29,2939
100,54,0,22.777504,0.041062,31,2970
101,54,0,22.739713,0.037792,27,2997
102,54,0,22.689856,0.049856,33,3030
103,54,0,22.640379,0.049477,30,3060
104,54,0,22.590351,0.050028,35,3095
105,54,0,22.543163,0.047188,33,3128
106,54,0,22.489947,0.053216,29,3157
107,54,0,22.447331,0.042616,33,3190
108,54,0,22.397688,0.049642,32,3222
109,54,0,22.364451,0.033237,30,3252
110,54,0,22.323801,0.04065,31,3283
111,54,0,22.283465,0.040336,28,3311
112,54,0,22.232523,0.050942,34,3345
113,54,0,22.186397,0.046126,36,3381
114,54,0,22.138674,0.047723,30,3411
115,54,0,22.092079,0.046595,32,3443
116,54,0,22.050231,0.041848,32,3475
117,54,0,22.000826,0.049406,32,3507
118,54,0,21.954326,0.0465,29,3536
119,54,0,21.91516,0.039165,28,3564
120,54,0,21.874282,0.040878,32,3596
121,54,0,21.825303,0.04898,32,3628
122,54,0,21.781623,0.04368,32,3660
123,54,0,21.74738,0.034243,28,3688
124,54,0,21.694995,0.052385,34,3722
125,54,0,21.654838,0.040157,30,3752
126,54,0,21.604028,0.05081,35,3787
127,54,0,21.56379,0.040238,30,3817
128,54,0,21.513184,0.050606,33,3850
129,54,0,21.480826,0.032358,29,3879
130,54,0,21.441283,0.039543,29,3908
131,54,0,21.393781,0.047502,33,3941
132,54,0,21.356218,0.037563,28,3969
133,54,0,21.31569,0.040528,28,3997
134,54,0,21.265252,0.050437,37,4034
135,54,0,21.225974,0.039278,28,4062
136,54,0,21.1776,0.048374,32,4094
137,54,0,21.128174,0.049426,34,4128
138,54,0,21.08592,0.042253,30,4158
139,54,0,21.04485,0.04107,29,4187
140,54,0,21.007334,0.037516,29,4216
141,54,0,20.962036,0.045298,29,4245
142,54,0,20.91668,0.045356,30,4275
143,54,0,20.879005,0.037675,31,4306
144,54,0,20.838402,0.040603,27,4333
145,54,0,20.814217,0.024185,26,4359
146,54,0,20.772527,0.04169,31,4390
147,54,0,20.727906,0.044621,34,4424
148,54,0,20.686843,0.041063,31,4455
149,54,0,20.648391,0.038453,27,4482
150,54,0,20.60372,0.044671,30,4512
151,54,0,20.557804,0.045915,34,4546
152,54,0,20.507991,0.049813,31,4577
153,54,0,20.464336,0.043656,30,4607
154,54,0,20.430707,0.033628,32,4639
155,54,0,20.403555,0.027152,30,4669
156,54,0,20.36748,0.036075,25,4694
157,54,0,20.326839,0.040641,32,4726
158,54,0,20.276495,0.050343,35,4761
159,54,0,20.224118,0.052378,35,4796
160,54,0,20.181623,0.042495,32,4828
161,54,0,20.132655,0.048968,31,4859
162,54,0,20.101924,0.030731,28,4887
163,54,0,20.057156,0.044768,34,4921
164,54,0,19.995896,0.06126,37,4958
165,54,0,19.963973,0.031923,28,4986
166,54,0,19.929274,0.034699,33,5019
167,54,0,19.902615,0.02666,26,5045
168,54,0,19.86155,0.041064,32,5077
169,54,0,19.816889,0.044662,31,5108
170,54,0,19.785523,0.031365,29,5137
171,54,0,19.741733,0.04379,33,5170
172,54,0,19.701493,0.04024,30,5200
173,54,0,19.652702,0.048791,31,5231
174,54,0,19.61627,0.036432,26,5257
175,54,0,19.576193,0.040077,29,5286
176,54,0,19.525363,0.05083,31,5317
177,54,0,19.47428,0.051082,36,5353
178,54,0,19.430684,0.043597,26,5379
179,54,0,19.388471,0.042212,32,5411
180,54,0,19.335982,0.052489,34,5445
181,54,0,19.295277,0.040705,30,5475
182,54,0,19.268398,0.026879,29,5504
183,54,0,19.241705,0.026693,30,5534
184,54,0,19.200205,0.0415,31,5565
185,54,0,19.16548,0.034725,34,5599
186,54,0,19.131794,0.033686,33,5632
187,54,0,19.101719,0.030075,29,5661
188,54,0,19.062346,0.039373,34,5695
189,54,0,19.03938,0.022965,24,5719
190,54,0,18.998689,0.040692,30,5749
191,54,0,18.962661,0.036027,25,5774
192,54,0,18.919918,0.042744,34,5808
193,54,0,18.873142,0.046775,31,5839
194,54,0,18.841303,0.031839,26,5865
195,54,0,18.792217,0.049086,30,5895
196,54,0,18.745364,0.046853,28,5923
197,54,0,18.716355,0.029009,25,5948
198,54,0,18.679702,0.036653,25,5973
199,54,0,18.640233,0.039469,29,6002
200,54,0,18.602379,0.037854,26,6028
201,54,0,18.547151,0.055228,31,6059
202,54,0,18.511428,0.035722,24,6083
203,54,0,18.463319,0.048109,30,6113
204,54,0,18.424387,0.038932,28,6141
205,54,0,18.383128,0.041259,31,6172
206,54,0,18.341439,0.04169,32,6204
207,54,0,18.301249,0.040189,29,6233
208,54,0,18.269181,0.032068,25,6258
209,54,0,18.228224,0.040957,32,6290
210,54,0,18.179818,0.048405,30,6320
211,54,0,18.132604,0.047214,28,6348
212,54,0,18.101416,0.031188,29,6377
213,54,0,18.076616,0.0248,27,6404
214,54,0,18.029149,0.047467,32,6436
215,54,0,17.984641,0.044508,24,6460
216,54,0,17.939306,0.045335,27,6487
217,54,0,17.908445,0.030862,29,6516
218,54,0,17.868821,0.039624,27,6543
219,54,0,17.817884,0.050937,34,6577
220,54,0,17.778943,0.038941,29,6606
221,54,0,17.750084,0.028859,25,6631
222,54,0,17.721038,0.029046,27,6658
223,54,0,17.689882,0.031156,29,6687
224,54,0,17.652342,0.037541,26,6713
225,54,0,17.60991,0.042431,29,6742
226,54,0,17.564592,0.045318,29,6771
227,54,0,17.52024,0.044352,27,6798
228,54,0,17.482917,0.037323,27,6825
229,54,0,17.433321,0.049596,32,6857
230,54,0,17.39277,0.040551,31,6888
231,54,0,17.35401,0.03876,28,6916
232,54,0,17.313666,0.040344,32,6948
233,54,0,17.288317,0.02535,27,6975
234,54,0,17.246069,0.042247,30,7005
235,54,0,17.21322,0.032849,28,7033
236,54,0,17.172633,0.040587,34,7067
237,54,0,17.131743,0.040889,31,7098
238,54,0,17.104114,0.02763,25,7123
239,54,0,17.064671,0.039442,28,7151
240,54,0,17.031992,0.03268,32,7183
241,54,0,16.999919,0.032072,30,7213
242,54,0,16.969401,0.030518,29,7242
243,54,0,16.931915,0.037486,29,7271
244,54,0,16.887097,0.044817,33,7304
245,54,0,16.861705,0.025392,27,7331
246,54,0,16.820316,0.041389,31,7362
247,54,0,16.789354,0.030962,29,7391
248,54,0,16.744057,0.045297,29,7420
249,54,0,16.705016,0.039041,32,7452
250,54,0,16.667832,0.037184,30,7482
251,54,0,16.634531,0.033301,32,7514
252,54,0,16.606194,0.028337,26,7540
253,54,0,16.575459,0.030734,27,7567
254,54,0,16.537207,0.038252,26,7593
255,54,0,16.514258,0.02295,24,7617
256,54,0,16.481519,0.032739,31,7648
257,54,0,16.44006,0.041459,29,7677
258,54,0,16.410299,0.029761,28,7705
259,54,0,16.37093,0.039369,30,7735
260,54,0,16.341121,0.029808,26,7761
261,54,0,16.305018,0.036103,25,7786
262,54,0,16.272537,0.032482,30,7816
263,54,0,16.229678,0.042859,32,7848
264,54,0,16.189257,0.040421,28,7876
265,54,0,16.155205,0.034052,28,7904
266,54,0,16.121379,0.033826,26,7930
267,54,0,16.074078,0.047301,30,7960
268,54,0,16.035412,0.038667,26,7986
269,54,0,16.001955,0.033456,32,8018
270,54,0,15.95553,0.046425,27,8045
271,54,0,15.913485,0.042045,32,8077
272,54,0,15.871995,0.04149,32,8109
273,54,0,15.835315,0.03668,27,8136
274,54,0,15.813013,0.022302,23,8159
275,54,0,15.774755,0.038258,32,8191
276,54,0,15.736767,0.037988,29,8220
277,54,0,15.699634,0.037133,26,8246
278,54,0,15.660426,0.039208,29,8275
279,54,0,15.619242,0.041184,31,8306
280,54,0,15.573489,0.045754,28,8334
281,54,0,15.531058,0.04243,31,8365
282,54,0,15.483265,0.047794,30,8395
283,54,0,15.433748,0.049517,32,8427
284,54,0,15.405052,0.028696,31,8458
285,54,0,15.36718,0.037873,28,8486
286,54,0,15.326569,0.040611,30,8516
287,54,0,15.29752,0.029049,26,8542
288,54,0,15.266254,0.031266,29,8571
289,54,0,15.226709,0.039545,27,8598
290,54,0,15.193281,0.033428,32,8630
291,54,0,15.139951,0.053331,29,8659
292,54,0,15.095431,0.04452,29,8688
293,54,0,15.059675,0.035756,29,8717
294,54,0,15.013328,0.046347,30,8747
295,54,0,14.963241,0.050087,32,8779
296,54,0,14.926192,0.037048,27,8806
297,54,0,14.88645,0.039742,27,8833
298,54,0,14.848991,0.037459,25,8858
299,54,0,14.804584,0.044407,30,8888
300,54,0,14.759321,0.045263,28,8916
301,54,0,14.723309,0.036013,25,8941
302,54,0,14.672658,0.050651,32,8973
303,54,0,14.643701,0.028957,26,8999
304,54,0,14.618226,0.025475,28,9027
305,54,0,14.567429,0.050797,35,9062
306,54,0,14.537277,0.030151,26,9088
307,54,0,14.495022,0.042256,25,9113
308,54,0,14.457714,0.037307,27,9140
309,54,0,14.427999,0.029716,27,9167
310,54,0,14.387806,0.040192,31,9198
311,54,0,14.341046,0.04676,28,9226
