round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
1,54,0,26.99115,0.00885,2,2
2,54,0,26.968833,0.022317,30,32
3,54,0,26.949427,0.019406,26,58
4,54,0,26.931812,0.017615,23,81
5,54,0,26.916043,0.015769,19,100
6,54,0,26.901375,0.014668,20,120
7,54,0,26.888005,0.01337,19,139
8,54,0,26.874661,0.013344,18,157
9,54,0,26.861287,0.013374,19,176
10,54,0,26.849992,0.011295,14,190
11,54,0,26.838842,0.011149,15,205
12,54,0,26.827499,0.011343,14,219
13,54,0,26.813249,0.014251,14,233
14,54,0,26.801915,0.011334,14,247
15,54,0,26.785609,0.016306,22,269
16,54,0,26.770272,0.015337,23,292
17,54,0,26.757996,0.012276,17,309
18,54,0,26.740491,0.017505,29,338
19,54,0,26.721354,0.019137,27,365
20,54,0,26.701454,0.0199,30,395
21,54,0,26.680905,0.02055,35,430
22,54,0,26.659508,0.021397,29,459
23,54,0,26.636126,0.023382,33,492
24,54,0,26.614839,0.021287,33,525
25,54,0,26.591374,0.023465,35,560
26,54,0,26.569357,0.022017,36,596
27,54,0,26.546942,0.022415,31,627
28,54,0,26.525677,0.021266,37,664
29,54,0,26.500628,0.025049,37,701
30,54,0,26.477166,0.023462,35,736
31,54,0,26.456878,0.020288,28,764
32,54,0,26.436167,0.020711,29,793
33,54,0,26.413942,0.022224,31,824
34,54,0,26.393117,0.020825,35,859
35,54,0,26.369159,0.023959,35,894
36,54,0,26.347458,0.021701,32,926
37,54,0,26.322592,0.024865,37,963
38,54,0,26.302846,0.019746,31,994
39,54,0,26.284473,0.018373,30,1024
40,54,0,26.265327,0.019146,32,1056
41,54,0,26.246648,0.018679,31,1087
42,54,0,26.226423,0.020225,33,1120
43,54,0,26.206957,0.019466,32,1152
44,54,0,26.187231,0.019726,31,1183
45,54,0,26.167634,0.019597,32,1215
46,54,0,26.14759,0.020044,31,1246
47,54,0,26.129117,0.018473,31,1277
48,54,0,26.109354,0.019763,26,1303
